date,day_of_year,releases,top_1_gross,top_10_gross,total_gross,year,day_of_month,is_weekend,total_gross_lag7,7_day_rolling_total,30_day_rolling_total,daily_returns,is_holiday,weekday_sin,weekday_cos,month_sin,month_cos,quarter_sin,quarter_cos,day_of_year_sin,day_of_year_cos,is_pandemic
2020-06-03,155,4,13112,13322,13322,2020,3,0,18243.0,33066.857142857145,28997.166666666668,25.32455315145814,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.4575313760742512,-0.8891934772070711,1
2020-06-04,156,4,17343,17655,17655,2020,4,0,20549.0,32653.428571428572,29370.733333333334,32.525146374418256,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.44216815196707204,-0.8969321743510065,1
2020-06-05,157,6,68854,129426,129426,2020,5,0,63815.0,42026.42857142857,33383.26666666667,633.0841121495328,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.42667408318992467,-0.9044054548343001,1
2020-06-06,158,6,92206,175477,175477,2020,6,1,78500.0,55880.28571428572,38933.53333333333,35.58094973189312,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.4110537546870351,-0.9116111071930239,1
2020-06-07,159,6,56853,105840,105840,2020,7,1,34151.0,66121.57142857143,41473.03333333333,-39.68440308416488,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.3953117887649151,-0.9185469991587165,1
2020-06-08,160,6,20939,40474,40474,2020,8,0,10501.0,70403.42857142857,41503.4,-61.75925925925926,0,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.37945284372454435,-0.925211078289358,1
2020-06-09,161,6,26601,48831,48831,2020,9,0,10630.0,75860.71428571429,42622.4,20.647823293966503,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.36348161248290634,-0.9316013725767187,1
2020-06-10,162,7,25488,68306,68306,2020,10,0,13322.0,83715.57142857143,44510.2,39.88245172124265,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.3474028211842774,-0.9377159910299093,1
2020-06-11,163,6,38039,65804,65804,2020,11,0,17655.0,90594.0,46268.26666666667,-3.66292858606857,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.3312212278016865,-0.9435531242349544,1
2020-06-12,164,6,77077,188412,188412,2020,12,0,129426.0,99020.57142857143,52018.86666666667,186.3230198772111,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.31494162072895193,-0.9491110448902284,1
2020-06-13,165,6,88998,222458,222458,2020,13,1,175477.0,105732.14285714286,58995.166666666664,18.069974311614967,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.2985688173637202,-0.9543881083175908,1
2020-06-14,166,6,37651,105878,105878,2020,14,1,105840.0,105737.57142857143,61041.166666666664,-52.405397872856895,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.2821076626819194,-0.9593827529490743,1
2020-06-15,167,6,20673,53846,53846,2020,15,0,40474.0,107647.85714285714,61093.8,-49.143353671206484,0,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.26556302780405594,-0.9640935007889755,1
2020-06-16,168,6,24505,62598,62598,2020,16,0,48831.0,109614.57142857143,62267.63333333333,16.25376072503064,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.24893980855376657,-0.9685189578512204,1
2020-06-17,169,6,28587,56967,56967,2020,17,0,68306.0,107994.71428571429,63637.066666666666,-8.995495063740055,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.23224292400907015,-0.9726578145718654,1
2020-06-18,170,6,24484,65307,65307,2020,18,0,65804.0,107923.71428571429,65183.433333333334,14.640054768550215,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.21547731504673012,-0.976508846196619,1
2020-06-19,171,8,57963,165994,165994,2020,19,0,188412.0,104721.14285714286,70034.6,154.1748970248212,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.19864794288017112,-0.9800709131432666,1
2020-06-20,172,8,66232,185069,185069,2020,20,1,222458.0,99379.85714285714,75607.96666666666,11.491379206477337,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.18175978759137534,-0.9833429613388902,1
2020-06-21,173,8,28630,81136,81136,2020,21,1,105878.0,95845.28571428571,75942.0,-56.15905419059919,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.16481784665719793,-0.9863240225317866,1
2020-06-22,174,8,19684,60480,60480,2020,22,0,53846.0,96793.0,75119.3,-25.45848944981266,0,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.14782713347053048,-0.9890132145779883,1
2020-06-23,175,8,24300,69172,69172,2020,23,0,62598.0,97732.14285714286,75349.43333333333,14.37169312169313,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.13079267585675922,-0.9914097417023038,1
2020-06-24,176,8,26422,71652,71652,2020,24,0,56967.0,99830.0,77010.13333333333,3.585265714450925,0,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.11371951458594969,-0.9935128947338007,1
2020-06-25,177,8,26415,82331,82331,2020,25,0,65307.0,102262.0,79094.13333333333,14.903980349466872,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.0966127018812031,-0.9953220513156602,1
2020-06-26,178,7,37294,103182,103182,2020,26,0,165994.0,93288.85714285714,81925.43333333333,25.325818950334632,0,-0.433883739117558,-0.9009688679024191,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.07947729992362097,-0.9968366760893436,1
2020-06-27,179,7,27481,79149,79149,2020,27,1,185069.0,78157.42857142857,83878.76666666666,-23.291853230214578,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.062318379354325076,-0.998056320853012,1
2020-06-28,180,7,24434,81583,81583,2020,28,1,81136.0,78221.28571428571,84471.03333333334,3.0752125737532943,0,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.04514101777397193,-0.9989806246941579,1
2020-06-29,181,7,19340,54011,54011,2020,29,0,60480.0,77297.14285714286,83654.73333333334,-33.79625657306057,0,0.0,1.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.02795029824021032,-0.999609314096404,1
2020-06-30,182,7,14449,45434,45434,2020,30,0,69172.0,73906.0,84030.83333333333,-15.880098498454021,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,0.01075130776352193,-0.9999422030204416,1
