date,total_gross
2018-08-26,167017123
2018-09-02,143724249
2018-09-09,171735530
2018-09-16,145457270
2018-09-23,127787256
2018-09-30,136380914
2018-10-07,210309407
2018-10-14,208604862
2018-10-21,212174272
2018-10-28,155492043
2018-11-04,187273832
2018-11-11,217250935
2018-11-18,234190852
2018-11-25,356775546
2018-12-02,168668342
2018-12-09,122760230
2018-12-16,151686496
2018-12-23,239965561
2018-12-30,421022040
2019-01-06,293469651
2019-01-13,169390988
2019-01-20,183346767
2019-01-27,167595391
2019-02-03,105020570
2019-02-10,141209213
2019-02-17,177536928
2019-02-24,182704990
2019-03-03,148087516
2019-03-10,244052492
2019-03-17,208505480
2019-03-24,195452040
2019-03-31,191941336
2019-04-07,191779045
2019-04-14,152595950
2019-04-21,158980864
2019-04-28,442970147
2019-05-05,333002299
2019-05-12,224992453
2019-05-19,198431677
2019-05-26,234794182
2019-06-02,275081701
2019-06-09,241069885
2019-06-16,210295057
2019-06-23,272333902
2019-06-30,263863613
2019-07-07,361203920
2019-07-14,223771085
2019-07-21,337131167
2019-07-28,289061587
2019-08-04,236910462
2019-08-11,207435840
2019-08-18,189074489
2019-08-25,163946420
2019-09-01,136409667
2019-09-08,185957585
2019-09-15,148590569
2019-09-22,160872504
2019-09-29,138231821
2019-10-06,184882414
2019-10-13,204314692
2019-10-20,195906886
2019-10-27,152493148
2019-11-03,155747871
2019-11-10,160389414
2019-11-17,157239482
2019-11-24,241594715
2019-12-01,317850552
2019-12-08,133316092
2019-12-15,151011841
2019-12-22,291087335
2019-12-29,433050410
2020-01-05,321127888
2020-01-12,180111310
2020-01-19,217195999
2020-01-26,201169493
2020-02-02,118019674
2020-02-09,124570907
2020-02-16,186889893
2020-02-23,160540794
2020-03-01,130287088
2020-03-08,131846915
2020-03-15,87504121
2020-03-22,5359683
2020-03-29,405
2020-04-05,1194
2020-04-12,3999
2020-04-19,7399
2020-04-26,15608
2020-05-03,85659
2020-05-10,116685
2020-05-17,177945
2020-05-24,291671
2020-05-31,256900
2020-06-07,462851
2020-06-14,740163
2020-06-21,670917
2020-06-28,547549
2020-07-05,506148
2020-07-12,590752
2020-07-19,428947
2020-07-26,807451
2020-08-02,852733
